name,model,loss,optimizer,learning_rate,epochs,batch_size,seq_len,iots,train_test_split,train_val_split,model_filename,train,test,is_cli,tr_star,iot,benign_test,gafgyt_combo,gafgyt_junk,gafgyt_scan,gafgyt_tcp,gafgyt_udp,mirai_ack,mirai_scan,mirai_syn,mirai_udp,mirai_udpplain
Ecobee_Thermostat_Lstm,LSTMEncDec,MSE,SGD,0.027999999999999997,250.0,64.0,25.0,Ecobee_Thermostat,0.66,0.8,../models/Ecobee_Thermostat_Lstm,1.0,1.0,1.0,"[0.02612109 0.02612057 0.02612699 0.02613103 0.02613074 0.02613026
 0.02613703 0.02613682 0.02613625 0.02614158 0.0261454  0.02614522
 0.02614317 0.02614582 0.02614443 0.02613978 0.02614    0.02614679
 0.02614595 0.02624971 0.02639594 0.02657126 0.02705303 0.02895872
 0.03865191]",Ecobee_Thermostat,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Simple_Home_1003_Security_Camera_Lstm,LSTMEncDec,MSE,SGD,0.006,500.0,64.0,25.0,Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1003_Security_Camera_Lstm,1.0,1.0,1.0,"[0.02327412 0.02330405 0.0233337  0.02333763 0.0233654  0.02338694
 0.02341354 0.02344464 0.0234559  0.02346762 0.02348744 0.02350935
 0.02352348 0.02353988 0.0235541  0.02358699 0.02360686 0.02364245
 0.02367973 0.02373315 0.02390364 0.02434752 0.02541114 0.02929967
 0.04729717]",Simple_Home_1003_Security_Camera,0.04397590361445783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Simple_Home_1002_Security_Camera_Lstm,LSTMEncDec,MSE,SGD,0.017,230.0,64.0,25.0,Simple_Home_1002_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Lstm,1.0,1.0,1.0,"[0.06197948 0.06197972 0.06197991 0.06198079 0.06198159 0.06198132
 0.06198078 0.06198041 0.06197931 0.06197759 0.06197509 0.06197157
 0.06196658 0.06196438 0.06195625 0.06197859 0.06198136 0.06198564
 0.06196839 0.06189329 0.0617596  0.06151666 0.06106565 0.06012411
 0.05825145]",Simple_Home_1002_Security_Camera,0.0425531914893617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Samsung_Webcam_Lstm,LSTMEncDec,MSE,SGD,0.013,150.0,64.0,35.0,Samsung_Webcam,0.66,0.8,../models/Samsung_Webcam_Lstm,1.0,1.0,1.0,"[0.0342562  0.0342604  0.03426451 0.03426854 0.03427262 0.03427673
 0.03428095 0.03428527 0.03428966 0.0342941  0.03429859 0.03430308
 0.03430758 0.03431176 0.03431583 0.03431976 0.03432343 0.03432666
 0.03432926 0.03433114 0.03433192 0.03433091 0.03432701 0.03431897
 0.03430531 0.0342845  0.03425354 0.03420646 0.034131   0.03401136
 0.03384449 0.03365306 0.03361866 0.03451187 0.04265486]",Samsung_Webcam,0.05989509897918899,1.0,1.0,1.0,1.0,1.0,,,,,
Ennio_Doorbell_Lstm,LSTMEncDec,MSE,SGD,0.003,350.0,64.0,25.0,Ennio_Doorbell,0.66,0.8,../models/Ennio_Doorbell_Lstm,1.0,1.0,1.0,"[0.01654848 0.01654918 0.01655003 0.01655043 0.01655082 0.01655128
 0.01655196 0.0165529  0.01655403 0.01655552 0.01655763 0.01656064
 0.01656481 0.01657076 0.01657969 0.01659345 0.01661544 0.01665188
 0.01671608 0.0168394  0.01710044 0.01771985 0.01942883 0.02494997
 0.04829702]",Ennio_Doorbell,0.017827591394614112,1.0,1.0,1.0,1.0,1.0,,,,,
Provision_737_Security_Camera_Lstm,LSTMEncDec,MSE,SGD,0.026,200.0,64.0,35.0,Provision_737_Security_Camera,0.66,0.8,../models/Provision_737_Security_Camera_Lstm,1.0,1.0,1.0,"[0.04456325 0.04336678 0.04223007 0.04125225 0.04046285 0.0398056
 0.03925711 0.03887222 0.03872452 0.03880887 0.03905124 0.0393499
 0.03964586 0.0398706  0.03990173 0.03971028 0.03928059 0.03867432
 0.03790289 0.03694554 0.03582047 0.03455264 0.03323523 0.03191983
 0.03063342 0.02942597 0.02829899 0.02735355 0.02660883 0.02615101
 0.02596009 0.02586567 0.02609013 0.02709994 0.03100855]",Provision_737_Security_Camera,0.07291913121658071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philips_Baby_Monitor_Lstm,LSTMEncDec,MSE,SGD,0.016,100.0,64.0,65.0,Philips_Baby_Monitor,0.66,0.8,../models/Philips_Baby_Monitor_Lstm,1.0,1.0,1.0,"[0.02042077 0.02042078 0.0204208  0.02042081 0.02042082 0.02042083
 0.02042084 0.02042085 0.02042086 0.02042086 0.02042087 0.02042088
 0.02042088 0.02042088 0.02042089 0.0204209  0.02042091 0.02042091
 0.02042092 0.02042094 0.02042094 0.02042095 0.02042096 0.02042096
 0.02042096 0.02042097 0.02042097 0.02042098 0.02042098 0.02042098
 0.02042099 0.02042099 0.02042098 0.02042097 0.02042096 0.02042094
 0.02042093 0.0204209  0.02042086 0.0204208  0.02042072 0.0204206
 0.02042044 0.02042023 0.02041993 0.02041953 0.02041897 0.02041821
 0.02041716 0.02041569 0.02041365 0.02041079 0.02040674 0.02040096
 0.02039261 0.02038039 0.02036223 0.02033476 0.02029236 0.02022574
 0.02011958 0.01995384 0.01972797 0.01966336 0.02253365]",Philips_Baby_Monitor,0.02525930650196368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster_Lstm,LSTMEncDec,MSE,SGD,0.01,100.0,32.0,25.0,Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster_Lstm,1.0,1.0,1.0,"[0.05372678 0.05373193 0.05373722 0.05373841 0.05374357 0.053748
 0.05375339 0.05375936 0.05376122 0.05376277 0.05376525 0.05376727
 0.05376671 0.05376447 0.05375909 0.05375323 0.05373862 0.0537171
 0.05368022 0.053616   0.05351929 0.05336191 0.05306143 0.05261979
 0.05287799]",Simple_Home_1002_Security_Camera,0.06269335185302102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster_Lstm,LSTMEncDec,MSE,SGD,0.01,100.0,32.0,25.0,Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster_Lstm,1.0,1.0,1.0,"[0.05372678 0.05373193 0.05373722 0.05373841 0.05374357 0.053748
 0.05375339 0.05375936 0.05376122 0.05376277 0.05376525 0.05376727
 0.05376671 0.05376447 0.05375909 0.05375323 0.05373862 0.0537171
 0.05368022 0.053616   0.05351929 0.05336191 0.05306143 0.05261979
 0.05287799]",Simple_Home_1003_Security_Camera,0.03975903614457831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Danmini_Doorbell_Lstm,LSTMEncDec,MSE,SGD,0.012,150.0,64.0,85.0,Danmini_Doorbell,0.66,0.8,../models/Danmini_Doorbell_Lstm,1.0,1.0,1.0,"[0.01338296 0.01338326 0.01338396 0.01338427 0.01338486 0.01338903
 0.01338926 0.01338937 0.01338951 0.01338981 0.01339052 0.0133909
 0.01339133 0.01339155 0.01339167 0.01339179 0.01339207 0.0133927
 0.01339332 0.01339364 0.01339441 0.01339462 0.01339473 0.01339486
 0.01339516 0.01339586 0.01339671 0.01339707 0.01339731 0.01339744
 0.01339758 0.01339788 0.01339857 0.01339911 0.01339943 0.01340023
 0.01340046 0.01340058 0.01340072 0.01340102 0.0134017  0.01340195
 0.01340259 0.01340286 0.01340358 0.01340377 0.01340387 0.01340401
 0.01340432 0.01340506 0.01340595 0.01340627 0.01340648 0.01340659
 0.0134067  0.01340697 0.01340763 0.01340813 0.01340835 0.01340897
 0.01340908 0.01340904 0.01340896 0.01340896 0.01340926 0.01340898
 0.01340926 0.01340855 0.01340741 0.01340567 0.01340324 0.01340002
 0.01339585 0.01338966 0.01338458 0.01337243 0.01335737 0.01334076
 0.01333339 0.01337395 0.0135923  0.01442548 0.01738214 0.02802493
 0.07068708]",Danmini_Doorbell,0.001543301478007954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
